ID;Aktywny(0 lub 1);Nazwa *;Opis;Krótki opis;Meta - tytuł;Słowa kluczowe meta;Opis meta;URL zdjęcia;ID / Nazwa sklepu grupy
1;1;HUGO;Super marka HUGO;;;;;https://img01.ztat.net/article/spp-media-p1/6e70bfab7777499783c945c90d563ca6/b78274734a09404e835491608bd14f7a.jpg?imwidth=300;
2;1;Tommy Jeans;Super marka Tommy Jeans;;;;;https://img01.ztat.net/article/spp-media-p1/3ff8b4e109563d26a3789e6457cd5b79/e4326574d9b24d87a76d47e9aedb3058.jpg?imwidth=300;
3;1;Denim Culture;Super marka Denim Culture;;;;;https://img01.ztat.net/article/spp-media-p1/696777eb9bb345729a636adba121299c/5c248f9c1a464d9fa42553de56df0a0a.jpg?imwidth=300&filter=packshot;
4;1;Levi's®;Super marka Levi's®;;;;;https://img01.ztat.net/article/spp-media-p1/1e17682c9275367ca149b2da3742af7d/f8441ad20e754839848ec605a3305a93.jpg?imwidth=300;
5;1;Pier One;Super marka Pier One;;;;;https://img01.ztat.net/article/spp-media-p1/cc44d9da8ac23e47873bd79b570e8099/f3311ca65bb04406b4483c68855855c6.jpg?imwidth=300&filter=packshot;
6;1;U.S. Polo Assn.;Super marka U.S. Polo Assn.;;;;;https://img01.ztat.net/article/spp-media-p1/6918695bf0a447958de2b2cc3c06f9be/d2f9b5ee48c949fd92522a0961485708.jpg?imwidth=300&filter=packshot;
7;1;Dickies;Super marka Dickies;;;;;https://img01.ztat.net/article/spp-media-p1/c47ee360377334ac8cefb2371c02cc23/780177f7e9cb46c987d8c2817d1ba426.jpg?imwidth=300;
8;1;Lacoste;Super marka Lacoste;;;;;https://img01.ztat.net/article/spp-media-p1/6eb0f0a5dca037b288ee16b399474d6b/558e0181d52a4cfab5ba70a66e93d671.jpg?imwidth=300;
9;1;Ellesse;Super marka Ellesse;;;;;https://img01.ztat.net/article/spp-media-p1/58b26a1680b04a26b6cd640a2891a48e/7c79a82f48c54d9b97e4dbff45bde5ec.jpg?imwidth=300;
10;1;Wrangler;Super marka Wrangler;;;;;https://img01.ztat.net/article/spp-media-p1/aae676f0b6ff4744b317c1a50bf37ce3/edffc27b3db5439faffdd85e487abcb1.jpg?imwidth=300&filter=packshot;
11;1;Lee;Super marka Lee;;;;;https://img01.ztat.net/article/spp-media-p1/bc990caf60954ee3a2d5dcb25fefd849/623109b1cb5745e6b1e0542721b09b26.jpg?imwidth=300&filter=packshot;
12;1;adidas Performance;Super marka adidas Performance;;;;;https://img01.ztat.net/article/spp-media-p1/6c4acb2ad8d844fe8053bcadc54325a5/7b40ee68142a4b18bfd424abb4e8dcce.jpg?imwidth=300;
13;1;Polo Ralph Lauren;Super marka Polo Ralph Lauren;;;;;https://img01.ztat.net/article/spp-media-p1/5c419cb285cc338fb4607996d0441067/b6567992317f42cb89ea3ea62d6b9484.jpg?imwidth=300;
14;1;EA7 Emporio Armani;Super marka EA7 Emporio Armani;;;;;https://img01.ztat.net/article/spp-media-p1/1137b3805ff43b828778b2083b00fec7/7e7d0798f5f3459cb6e9da9483721779.jpg?imwidth=300;
15;1;Marc O'Polo;Super marka Marc O'Polo;;;;;https://img01.ztat.net/article/spp-media-p1/6cf764c695873d899ca49fca3b9e1f6e/6cfc46fa4f8a4417bbd2997ddd0e5140.jpg?imwidth=300;
16;1;Nike Sportswear;Super marka Nike Sportswear;;;;;https://img01.ztat.net/article/spp-media-p1/e24b03d53a714675a6ced6dd68125818/757070488a5b46b8838e282a1654f019.jpg?imwidth=300;
17;1;PULL&BEAR;Super marka PULL&BEAR;;;;;https://img01.ztat.net/article/spp-media-p1/d543c8b8c8d3409592e2d06359e1c2d7/93f04fb67582425c93451ee2504c7b37.jpg?imwidth=300;
18;1;Calvin Klein Jeans;Super marka Calvin Klein Jeans;;;;;https://img01.ztat.net/article/spp-media-p1/6b3524d0c4f94a24aa3d8dafbe6d0cb3/6ee6165b707344358b2d125600640817.jpg?imwidth=300;
19;1;Jordan;Super marka Jordan;;;;;https://img01.ztat.net/article/spp-media-p1/f867c6596a6848cd85a02b3739c4d48f/49b62a36e4e34926bbd17592386abdd5.jpg?imwidth=300&filter=packshot;
20;1;SIKSILK;Super marka SIKSILK;;;;;https://img01.ztat.net/article/spp-media-p1/51cfc8fe6f5f44b88b276726cf2885fe/8ddc566e75e54b848048dee554412163.jpg?imwidth=300;
21;1;Nike Performance;Super marka Nike Performance;;;;;https://img01.ztat.net/article/spp-media-p1/364d17a9e0b84a17b46c468f7ec8b4e1/95a48992216b4716b6cb8f03e4e9f8d4.jpg?imwidth=300;
22;1;Calvin Klein Golf;Super marka Calvin Klein Golf;;;;;https://img01.ztat.net/article/spp-media-p1/b4a6815e8987409eac57dadc8c0a2e69/a2dce9b6f2c64b019c777d32cf711093.jpg?imwidth=300&filter=packshot;
23;1;Abercrombie & Fitch;Super marka Abercrombie & Fitch;;;;;https://img01.ztat.net/article/spp-media-p1/063be7122f91498493b3c2f056203721/dd8d0772680644ae9a0da43bb60ba616.jpg?imwidth=300&filter=packshot;
24;1;Hollister Co.;Super marka Hollister Co.;;;;;https://img01.ztat.net/article/spp-media-p1/a7f7ec9e208a360fb626500fbcd0677b/81e88f908cd44b1cb51234ba4627c7c5.jpg?imwidth=300&filter=packshot;
25;1;Champion;Super marka Champion;;;;;https://img01.ztat.net/article/spp-media-p1/39e3ab2595a2405eac3571f756eaea4c/598c2fdac3044f3692fb4c0433fe1ba0.jpg?imwidth=300;
26;1;Pepe Jeans;Super marka Pepe Jeans;;;;;https://img01.ztat.net/article/spp-media-p1/be384a2a745240ea8a6794e9d8a4c048/5122016ae7924f4ab35ad66cdc756db9.jpg?imwidth=300&filter=packshot;
