Identyfikator Produktu (ID);Indeks produktu;Atrybut (Nazwa:Typ:Pozycja)*;Wartość (Wartość:Pozycja)*;Identyfikator dostawcy;Indeks;kod EAN13;Kod kreskowy UPC;MPN;Koszt własny;Wpływ na cenę;Podatek ekologiczny;Ilość;Minimalna ilość;Niski poziom produktów w magazynie;Otrzymuj powiadomienie o niskim stanie magazynów przez e-mail;Wpływ na wagę;Domyślny (0 = Nie, 1 = Tak);Data dostępności kombinacji;Wybierz z pośród zdjęć produktów wg pozycji (1,2,3...);Adresy URL zdjęcia (x,y,z...);Tekst alternatywny dla zdjęć (x,y,z...);ID / Nazwa sklepu;Zaawansowane zarządzanie magazynem;Zależny od stanu magazynowego;Magazyn
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;2;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;10;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;3;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;1;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;5;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;3;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;3;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;1;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;5;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;13;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;8;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;6;;;;;;;;;;;;;
