ID;Aktywny(0 lub 1);Nazwa;Kategorie(x, y, z...);Cena bez podatku. (netto);ID reguły podatku;Koszt własny;W sprzedaży(0 lub 1);Wartość rabatu;Procent rabatu;Rabat od dnia(rrrr-mm-dd);Rabat do dnia(rrrr-mm-dd);Indeks #;Kod dostawcy;Dostawca;Marka;Kod EAN13;Kod kreskowy;UPC;Podatek ekologiczny;Szerokość;Wysokość;Głębokość;Waga;Czas dostawy produktów dostępnych w magazynie:;Czas dostawy wyprzedanych produktów z możliwością rezerwacji:;Ilość;Minimalna ilość;Niski poziom produktów w magazynie;Otrzymuj powiadomienie o niskim stanie magazynów przez e-mail;Widoczność;Dodatkowe koszty przesyłki;Jednostka dla ceny za jednostkę;Cena za jednostkę;Podsumowanie;Opis;Tagi(x, y, z...);Meta - tytuł;Słowa kluczowe meta;Opis meta;Przepisany URL;Etykieta, gdy w magazynie;Etykieta kiedy dozwolone ponowne zamówienie;Dostępne do zamówienia(0 = Nie, 1 = Tak);Data dostępności produktu;Data wytworzenia produktu;Pokaż cenę(0 = Nie, 1 = Tak);Adresy URL zdjęcia(x, y, z...);Tekst alternatywny dla zdjęć(x, y, z...);Usuń istniejące zdjęcia(0 = Nie, 1 = Tak);Cecha(Nazwa:Wartość:Pozycja:Indywidualne);Dostępne tylko online(0 = Nie, 1 = Tak);Stan:;Konfigurowalny(0 = Nie, 1 = Tak);Można wgrywać pliki(0 = Nie, 1 = Tak);Pola tekstowe(0 = Nie, 1 = Tak);Akcja kiedy brak na stanie;Wirtualny produkt(0 = No, 1 = Yes);Adres URL pliku;Ilość dozwolonych pobrań;Data wygaśnięcia(rrrr-mm-dd);Liczba dni;ID / Nazwa sklepu;Zaawansowane zarządzanie magazynem;Zależny od stanu magazynowego;Magazyn;Akcesoria(x, y, z...)
1;1;DOLIVE - T-shirt z nadrukiem - black;T-shirty i koszulki polo;94;1;86;1;;0;2022-12-21;2022-12-24;;;;HUGO;;;;;;;;0,86;;;28;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/6e70bfab7777499783c945c90d563ca6/b78274734a09404e835491608bd14f7a.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
2;1;ORIGINAL SLIM FIT - Bluzka z długim rękawem - black;T-shirty i koszulki polo;109;1;99;1;;0;2022-12-21;2022-12-24;;;;Tommy Jeans;;;;;;;;0,75;;;73;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/3ff8b4e109563d26a3789e6457cd5b79/e4326574d9b24d87a76d47e9aedb3058.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
3;1;POLO  GEOFFRY - Koszulka polo - navy koralle;T-shirty i koszulki polo;123;1;112;1;;0;2022-12-21;2022-12-24;;;;Denim Culture;;;;;;;;0,77;;;91;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/696777eb9bb345729a636adba121299c/5c248f9c1a464d9fa42553de56df0a0a.jpg?imwidth=300&filter=packshot;;1;;;;;;;;;;;;;;;;;
4;1;ORIGINAL TEE REGULAR FIT - T-shirt basic - classic white;T-shirty i koszulki polo;80;1;73;1;;0;2022-12-21;2022-12-24;;;;Tommy Jeans;;;;;;;;0,89;;;27;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/f31d1d46bc4c463d96e3d01badf7aa0f/c49789250bef49aab223ad68407f6038.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
5;1;ORIGINAL TEE REGULAR FIT - T-shirt basic - black iris;T-shirty i koszulki polo;67;1;61;1;;0;2022-12-21;2022-12-24;;;;Tommy Jeans;;;;;;;;0,63;;;57;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/ca1549a4961d3be285dd8b27d32005ec/0b10fcb3bac04696a93c2e5e85c6cf22.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
6;1;ORIGINAL TEE REGULAR FIT - T-shirt basic - black;T-shirty i koszulki polo;89;1;81;1;;0;2022-12-21;2022-12-24;;;;Tommy Jeans;;;;;;;;0,78;;;79;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/05138df426d93c90be86560cebec4b9c/9982d1c2220c441b926f1ec119bb01aa.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
7;1;501 ORIGINAL TEE - T-shirt z nadrukiem - patch black;T-shirty i koszulki polo;80;1;73;1;;0;2022-12-21;2022-12-24;;;;Levi's®;;;;;;;;0,85;;;29;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/1e17682c9275367ca149b2da3742af7d/f8441ad20e754839848ec605a3305a93.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
8;1;5 PACK - T-shirt basic - mottled bordeaux/white;T-shirty i koszulki polo;67;1;61;1;;0;2022-12-21;2022-12-24;;;;Pier One;;;;;;;;0,64;;;60;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/cc44d9da8ac23e47873bd79b570e8099/f3311ca65bb04406b4483c68855855c6.jpg?imwidth=300&filter=packshot;;1;;;;;;;;;;;;;;;;;
9;1;COSIMO GRANDDAD - Bluzka z długim rękawem - dark sapphire;T-shirty i koszulki polo;89;1;81;1;;0;2022-12-21;2022-12-24;;;;U.S. Polo Assn.;;;;;;;;0,54;;;52;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/6918695bf0a447958de2b2cc3c06f9be/d2f9b5ee48c949fd92522a0961485708.jpg?imwidth=300&filter=packshot;;1;;;;;;;;;;;;;;;;;
10;1;3PACK - T-shirt basic - white;T-shirty i koszulki polo;72;1;66;1;;0;2022-12-21;2022-12-24;;;;Dickies;;;;;;;;0,71;;;57;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/c47ee360377334ac8cefb2371c02cc23/780177f7e9cb46c987d8c2817d1ba426.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
11;1;COSIMO GRANDDAD - Bluzka z długim rękawem - grey melange;T-shirty i koszulki polo;89;1;81;1;;0;2022-12-21;2022-12-24;;;;U.S. Polo Assn.;;;;;;;;0,65;;;60;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/7f344e48d0d3439d891d2a5ba205ddaa/d5845dfd423041a9889b21575630bb62.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
12;1;T-shirt basic - black;T-shirty i koszulki polo;103;1;94;1;;0;2022-12-21;2022-12-24;;;;Lacoste;;;;;;;;0,83;;;12;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/6eb0f0a5dca037b288ee16b399474d6b/558e0181d52a4cfab5ba70a66e93d671.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
13;1;CLASSIC LINEAR LOGO TEE - T-shirt z nadrukiem - white;T-shirty i koszulki polo;80;1;72;1;;0;2022-12-21;2022-12-24;;;;Tommy Jeans;;;;;;;;0,2;;;78;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/24411a1a4be4449780efcf2546d2ee49/72ef77d342044e78874e25652ebb6b33.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
14;1;ALENTE TEE - T-shirt z nadrukiem - white;T-shirty i koszulki polo;71;1;64;1;;0;2022-12-21;2022-12-24;;;;Ellesse;;;;;;;;0,35;;;67;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/58b26a1680b04a26b6cd640a2891a48e/7c79a82f48c54d9b97e4dbff45bde5ec.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
15;1;BROLIN  - Bluzka z długim rękawem - white;T-shirty i koszulki polo;77;1;70;1;;0;2022-12-21;2022-12-24;;;;U.S. Polo Assn.;;;;;;;;0,24;;;41;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/25bc19f9618048808fa7d85cdb3e5304/d48615505b09468e8796703915135eea.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
16;1;TEE 2 PACK - T-shirt basic - dusty/olive;T-shirty i koszulki polo;97;1;88;1;;0;2022-12-21;2022-12-24;;;;Wrangler;;;;;;;;0,14;;;85;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/aae676f0b6ff4744b317c1a50bf37ce3/edffc27b3db5439faffdd85e487abcb1.jpg?imwidth=300&filter=packshot;;1;;;;;;;;;;;;;;;;;
17;1;TWIN CREW 2 PACK - T-shirt basic - black;T-shirty i koszulki polo;97;1;88;1;;0;2022-12-21;2022-12-24;;;;Lee;;;;;;;;0,51;;;65;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/bc990caf60954ee3a2d5dcb25fefd849/623109b1cb5745e6b1e0542721b09b26.jpg?imwidth=300&filter=packshot;;1;;;;;;;;;;;;;;;;;
18;1;BROLIN  - Bluzka z długim rękawem - dark sapphire;T-shirty i koszulki polo;123;1;112;1;;0;2022-12-21;2022-12-24;;;;U.S. Polo Assn.;;;;;;;;0,77;;;7;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/b2824e1a683e4dc695760e0a9920ed34/0ccbb211fedf4f4c957097adc060ce98.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
19;1;T-shirt basic - black;T-shirty i koszulki polo;56;1;51;1;;0;2022-12-21;2022-12-24;;;;adidas Performance;;;;;;;;0,51;;;92;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/6c4acb2ad8d844fe8053bcadc54325a5/7b40ee68142a4b18bfd424abb4e8dcce.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
20;1;CUSTOM SLIM FIT JERSEY CREWNECK T-SHIRT - T-shirt basic - black;T-shirty i koszulki polo;197;1;179;1;;0;2022-12-21;2022-12-24;;;;Polo Ralph Lauren;;;;;;;;0,14;;;51;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/5c419cb285cc338fb4607996d0441067/b6567992317f42cb89ea3ea62d6b9484.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
21;1;T-shirt z nadrukiem - black;T-shirty i koszulki polo;121;1;110;1;;0;2022-12-21;2022-12-24;;;;EA7 Emporio Armani;;;;;;;;0,61;;;29;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/1137b3805ff43b828778b2083b00fec7/7e7d0798f5f3459cb6e9da9483721779.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
22;1;C-NECK - T-shirt basic - black;T-shirty i koszulki polo;60;1;55;1;;0;2022-12-21;2022-12-24;;;;Marc O'Polo;;;;;;;;0,45;;;98;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/6cf764c695873d899ca49fca3b9e1f6e/6cfc46fa4f8a4417bbd2997ddd0e5140.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
23;1;CLUB TEE - T-shirt basic - white/black;T-shirty i koszulki polo;56;1;51;1;;0;2022-12-21;2022-12-24;;;;Nike Sportswear;;;;;;;;0,75;;;11;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/e24b03d53a714675a6ced6dd68125818/757070488a5b46b8838e282a1654f019.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
24;1;5 PACK - T-shirt basic - white/dark grey/black;T-shirty i koszulki polo;67;1;61;1;;0;2022-12-21;2022-12-24;;;;Pier One;;;;;;;;0,49;;;59;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/d5802e9c81c34c878208adbb16120d0d/c8b9f5cce9884e23aebd3711252e2349.jpg?imwidth=300&filter=packshot;;1;;;;;;;;;;;;;;;;;
25;1;SHORT SLEEVE - T-shirt basic - white;T-shirty i koszulki polo;41;1;37;1;;0;2022-12-21;2022-12-24;;;;PULL&BEAR;;;;;;;;0,73;;;91;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/d543c8b8c8d3409592e2d06359e1c2d7/93f04fb67582425c93451ee2504c7b37.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
26;1;Koszulka polo - schwarz;T-shirty i koszulki polo;129;1;118;1;;0;2022-12-21;2022-12-24;;;;Lee;;;;;;;;0,81;;;9;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/a0448548874840fa8c5cdb141212844a/a75f96a5b1ee44c081a03edce95a7722.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
27;1;BADGE TURN UP SLEEVE - T-shirt basic - black;T-shirty i koszulki polo;85;1;77;1;;0;2022-12-21;2022-12-24;;;;Calvin Klein Jeans;;;;;;;;0,69;;;34;;;;;;;;;;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/6b3524d0c4f94a24aa3d8dafbe6d0cb3/6ee6165b707344358b2d125600640817.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
