Identyfikator Produktu (ID);Indeks produktu;Atrybut (Nazwa:Typ:Pozycja)*;Wartość (Wartość:Pozycja)*;Identyfikator dostawcy;Indeks;kod EAN13;Kod kreskowy UPC;MPN;Koszt własny;Wpływ na cenę;Podatek ekologiczny;Ilość;Minimalna ilość;Niski poziom produktów w magazynie;Otrzymuj powiadomienie o niskim stanie magazynów przez e-mail;Wpływ na wagę;Domyślny (0 = Nie, 1 = Tak);Data dostępności kombinacji;Wybierz z pośród zdjęć produktów wg pozycji (1,2,3...);Adresy URL zdjęcia (x,y,z...);Tekst alternatywny dla zdjęć (x,y,z...);ID / Nazwa sklepu;Zaawansowane zarządzanie magazynem;Zależny od stanu magazynowego;Magazyn
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;3;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;6;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;2;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;8;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;5;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;8;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;5;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;9;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;0;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;8;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;8;;;;;;;;;;;;;
221;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;4;;;;;;;;;;;;;
222;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;3;;;;;;;;;;;;;
222;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;4;;;;;;;;;;;;;
222;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;3;;;;;;;;;;;;;
222;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;5;;;;;;;;;;;;;
222;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;4;;;;;;;;;;;;;
222;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;7;;;;;;;;;;;;;
222;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;6;;;;;;;;;;;;;
222;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;1;;;;;;;;;;;;;
222;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;6;;;;;;;;;;;;;
222;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;0;;;;;;;;;;;;;
222;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;8;;;;;;;;;;;;;
222;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;8;;;;;;;;;;;;;
223;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;6;;;;;;;;;;;;;
223;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;8;;;;;;;;;;;;;
223;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;2;;;;;;;;;;;;;
223;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;6;;;;;;;;;;;;;
223;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;4;;;;;;;;;;;;;
223;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;4;;;;;;;;;;;;;
223;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;3;;;;;;;;;;;;;
223;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;3;;;;;;;;;;;;;
223;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;9;;;;;;;;;;;;;
223;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;5;;;;;;;;;;;;;
223;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;2;;;;;;;;;;;;;
223;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;5;;;;;;;;;;;;;
224;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;9;;;;;;;;;;;;;
224;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;6;;;;;;;;;;;;;
224;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;9;;;;;;;;;;;;;
224;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;5;;;;;;;;;;;;;
224;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;5;;;;;;;;;;;;;
224;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;6;;;;;;;;;;;;;
224;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;7;;;;;;;;;;;;;
224;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;5;;;;;;;;;;;;;
224;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;9;;;;;;;;;;;;;
224;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;7;;;;;;;;;;;;;
224;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;1;;;;;;;;;;;;;
224;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;8;;;;;;;;;;;;;
225;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;3;;;;;;;;;;;;;
225;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;4;;;;;;;;;;;;;
225;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;5;;;;;;;;;;;;;
225;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;6;;;;;;;;;;;;;
225;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;9;;;;;;;;;;;;;
225;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;4;;;;;;;;;;;;;
225;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;4;;;;;;;;;;;;;
225;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;2;;;;;;;;;;;;;
225;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;5;;;;;;;;;;;;;
225;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;5;;;;;;;;;;;;;
225;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;3;;;;;;;;;;;;;
225;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;2;;;;;;;;;;;;;
226;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;4;;;;;;;;;;;;;
226;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;5;;;;;;;;;;;;;
226;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;5;;;;;;;;;;;;;
226;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;4;;;;;;;;;;;;;
226;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;0;;;;;;;;;;;;;
226;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;8;;;;;;;;;;;;;
226;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;3;;;;;;;;;;;;;
226;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;8;;;;;;;;;;;;;
226;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;0;;;;;;;;;;;;;
226;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;2;;;;;;;;;;;;;
226;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;6;;;;;;;;;;;;;
226;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;8;;;;;;;;;;;;;
227;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;2;;;;;;;;;;;;;
227;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;9;;;;;;;;;;;;;
227;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;3;;;;;;;;;;;;;
227;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;8;;;;;;;;;;;;;
227;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;7;;;;;;;;;;;;;
227;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;4;;;;;;;;;;;;;
227;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;9;;;;;;;;;;;;;
227;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;0;;;;;;;;;;;;;
227;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;3;;;;;;;;;;;;;
227;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;2;;;;;;;;;;;;;
227;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;8;;;;;;;;;;;;;
227;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;9;;;;;;;;;;;;;
228;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;8;;;;;;;;;;;;;
228;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;4;;;;;;;;;;;;;
228;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;2;;;;;;;;;;;;;
228;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;9;;;;;;;;;;;;;
228;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;0;;;;;;;;;;;;;
228;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;3;;;;;;;;;;;;;
228;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;9;;;;;;;;;;;;;
228;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;8;;;;;;;;;;;;;
228;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;5;;;;;;;;;;;;;
228;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;3;;;;;;;;;;;;;
228;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;5;;;;;;;;;;;;;
228;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;9;;;;;;;;;;;;;
229;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;0;;;;;;;;;;;;;
229;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;0;;;;;;;;;;;;;
229;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;7;;;;;;;;;;;;;
229;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;4;;;;;;;;;;;;;
229;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;8;;;;;;;;;;;;;
229;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;0;;;;;;;;;;;;;
229;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;1;;;;;;;;;;;;;
229;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;0;;;;;;;;;;;;;
229;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;3;;;;;;;;;;;;;
229;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;3;;;;;;;;;;;;;
229;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;3;;;;;;;;;;;;;
229;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;6;;;;;;;;;;;;;
230;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;7;;;;;;;;;;;;;
230;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;2;;;;;;;;;;;;;
230;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;6;;;;;;;;;;;;;
230;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;0;;;;;;;;;;;;;
230;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;0;;;;;;;;;;;;;
230;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;7;;;;;;;;;;;;;
230;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;5;;;;;;;;;;;;;
230;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;5;;;;;;;;;;;;;
230;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;5;;;;;;;;;;;;;
230;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;2;;;;;;;;;;;;;
230;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;5;;;;;;;;;;;;;
230;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;1;;;;;;;;;;;;;
231;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;6;;;;;;;;;;;;;
231;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;0;;;;;;;;;;;;;
231;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;8;;;;;;;;;;;;;
231;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;0;;;;;;;;;;;;;
231;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;8;;;;;;;;;;;;;
231;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;4;;;;;;;;;;;;;
231;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;5;;;;;;;;;;;;;
231;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;2;;;;;;;;;;;;;
231;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;9;;;;;;;;;;;;;
231;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;4;;;;;;;;;;;;;
231;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;3;;;;;;;;;;;;;
231;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;4;;;;;;;;;;;;;
232;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;9;;;;;;;;;;;;;
232;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;2;;;;;;;;;;;;;
232;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;5;;;;;;;;;;;;;
232;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;4;;;;;;;;;;;;;
232;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;3;;;;;;;;;;;;;
232;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;3;;;;;;;;;;;;;
232;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;3;;;;;;;;;;;;;
232;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;9;;;;;;;;;;;;;
232;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;9;;;;;;;;;;;;;
232;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;6;;;;;;;;;;;;;
232;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;4;;;;;;;;;;;;;
232;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;1;;;;;;;;;;;;;
233;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;8;;;;;;;;;;;;;
233;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;4;;;;;;;;;;;;;
233;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;7;;;;;;;;;;;;;
233;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;7;;;;;;;;;;;;;
233;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;5;;;;;;;;;;;;;
233;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;6;;;;;;;;;;;;;
233;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;2;;;;;;;;;;;;;
233;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;1;;;;;;;;;;;;;
233;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;6;;;;;;;;;;;;;
233;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;6;;;;;;;;;;;;;
233;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;2;;;;;;;;;;;;;
233;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;1;;;;;;;;;;;;;
234;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;9;;;;;;;;;;;;;
234;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;7;;;;;;;;;;;;;
234;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;7;;;;;;;;;;;;;
234;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;6;;;;;;;;;;;;;
234;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;3;;;;;;;;;;;;;
234;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;1;;;;;;;;;;;;;
234;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;8;;;;;;;;;;;;;
234;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, XL:1;;;;;;;;;1;;;;;;;;;;;;;
234;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, S:1;;;;;;;;;8;;;;;;;;;;;;;
234;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, M:1;;;;;;;;;4;;;;;;;;;;;;;
234;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, L:1;;;;;;;;;4;;;;;;;;;;;;;
234;;Kolor:kolor:0, Rozmiar:rozmiar:1;Beżowy:0, XL:1;;;;;;;;;7;;;;;;;;;;;;;
235;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, S:1;;;;;;;;;1;;;;;;;;;;;;;
235;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, M:1;;;;;;;;;1;;;;;;;;;;;;;
235;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, L:1;;;;;;;;;5;;;;;;;;;;;;;
235;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szary:0, XL:1;;;;;;;;;9;;;;;;;;;;;;;
235;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, S:1;;;;;;;;;0;;;;;;;;;;;;;
235;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, M:1;;;;;;;;;2;;;;;;;;;;;;;
235;;Kolor:kolor:0, Rozmiar:rozmiar:1;Szarobrązowy:0, L:1;;;;;;;;;9;;;;;;;;;;;;;
